  Time         LC_1         LC_2         LC_3         LC_4 Palpation Force        X_pos        Y_pos
23.8000         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8010         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8020         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8030         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8040         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8050         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8060         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8070         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8080         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8090         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8100         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8110         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8120         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8130         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8140         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8150         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8160         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8170         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8180         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8190         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8200         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8210         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8220         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8230         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8240         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8250         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8260         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8270         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8280         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8290         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8300         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8310         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8320         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8330         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8340         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8350         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8360         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8370         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8380         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8390         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8400         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8410         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8420         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8430         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8440         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8450         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8460         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8470         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8480         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8490         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8500         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8510         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8520         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8530         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8540         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8550         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8560         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8570         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8580         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8590         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8600         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8610         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8620         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8630         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8640         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8650         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8660         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8670         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8680         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8690         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8700         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8710         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8720         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8730         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8740         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8750         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8760         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8770         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8780         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8790         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8800         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8810         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8820         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8830         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8840         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8850         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8860         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8870         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8880         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8890         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8900         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8910         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8920         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8930         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8940         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8950         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8960         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8970         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8980         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.8990         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9000         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9010         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9020         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9030         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9040         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9050         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9060         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9070         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9080         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9090         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9100         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9110         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9120         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9130         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9140         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9150         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9160         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9170         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9180         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9190         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9200         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9210         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9220         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9230         0.00         0.00         0.00         0.00         1.00         0.00         0.00
23.9240         0.00         0.00         0.00         0.00         1.00         0.00         0.00
