  Time         LC_1         LC_2         LC_3         LC_4 Palpation Force        X_pos        Y_pos
0.0000         4.21         3.89         5.21         3.32        16.63       126.05       131.68
0.0010         3.98         3.70         4.96         3.14        15.78       125.97       131.59
0.0020         3.77         3.50         4.70         2.96        14.94       125.89       131.50
0.0030         3.57         3.30         4.44         2.81        14.12       125.83       131.43
0.0040         3.36         3.10         4.17         2.64        13.27       125.76       131.36
0.0050         3.15         2.90         3.90         2.47        12.41       125.69       131.31
0.0060         2.95         2.70         3.64         2.30        11.58       125.60       131.26
0.0070         2.73         2.50         3.36         2.13        10.71       125.54       131.23
0.0080         2.51         2.29         3.10         1.97         9.86       125.46       131.24
0.0090         2.29         2.09         2.82         1.79         8.98       125.38       131.24
0.0100         2.07         1.88         2.55         1.59         8.10       125.25       131.24
0.0110         1.84         1.65         2.27         1.42         7.19       125.09       131.33
0.0120         1.61         1.44         2.00         1.26         6.30       124.95       131.44
0.0130         1.39         1.23         1.72         1.09         5.44       124.79       131.59
0.0140         1.17         1.02         1.43         0.90         4.52       124.58       131.75
0.0150         0.94         0.82         1.16         0.72         3.63       124.35       131.87
0.0160         0.71         0.61         0.88         0.55         2.75       124.11       132.02
0.0170         0.00         0.00         0.59         0.00         1.00       111.59       118.87
0.0180         0.00         0.00         0.00         0.00         1.00        99.07       105.71
0.0190         0.00         0.00         0.00         0.00         1.00        86.57        92.56
0.0200         0.00         0.00         0.00         0.00         1.00        74.12        79.43
0.0210         0.00         0.00         0.00         0.00         1.00        61.72        66.26
0.0220         0.00         0.00         0.00         0.00         1.00        49.32        53.07
0.0230         0.00         0.00         0.00         0.00         1.00        36.92        39.81
0.0240         0.00         0.00         0.00         0.00         1.00        24.58        26.54
0.0250         0.00         0.00         0.00         0.00         1.00        12.28        13.29
0.0260         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0270         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0280         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0290         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0300         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0310         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0320         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0330         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0340         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0350         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0360         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0370         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0380         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0390         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0400         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0410         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0420         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0430         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0440         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0450         0.00         0.00         0.00         0.00         1.00         0.00         0.00
0.0460         0.00         0.00         0.00         0.00         1.00         0.00         0.00
